Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Desc,URL
Pulney Coffee (Washed)  Pulney Hills      Espresso,bloomcoffeeroasters,675.0,250 gms,Medium Roast,,,
Pulney Coffee (Washed)  Pulney Hills      French Press,bloomcoffeeroasters,675.0,250 gms,Medium Roast,,,
Pulney Coffee (Washed)  Pulney Hills      Moka Pot,bloomcoffeeroasters,675.0,250 gms,Medium Roast,,,
Pulney Coffee (Washed)  Pulney Hills      Pour Over,bloomcoffeeroasters,675.0,250 gms,Medium Roast,,,
Pulney Coffee (Washed)  Pulney Hills      South Indian Filter,bloomcoffeeroasters,675.0,250 gms,Medium Roast,,,
Pulney Coffee (Washed)  Pulney Hills      Cold Brew,bloomcoffeeroasters,675.0,250 gms,Medium Roast,,,
Venkids Valley Estate (Washed) – Coorg  Medium     Whole Beans,bloomcoffeeroasters,2000.0,1kg,Dark Roast,,,
Venkids Valley Estate (Washed) – Coorg  Medium     Aeropress,bloomcoffeeroasters,2000.0,1kg,Dark Roast,,,
Venkids Valley Estate (Washed) – Coorg  Medium     Channi,bloomcoffeeroasters,2000.0,1kg,Dark Roast,,,
Venkids Valley Estate (Washed) – Coorg  Medium     Chemex,bloomcoffeeroasters,2000.0,1kg,Dark Roast,,,
Venkids Valley Estate (Washed) – Coorg  Medium     Cold Brew,bloomcoffeeroasters,2000.0,1kg,Dark Roast,,,
Venkids Valley Estate (Washed) – Coorg  Medium     Espresso,bloomcoffeeroasters,2000.0,1kg,Dark Roast,,,
Venkids Valley Estate (Washed) – Coorg  Medium     French Press,bloomcoffeeroasters,2000.0,1kg,Dark Roast,,,
Venkids Valley Estate (Washed) – Coorg  Medium     Moka Pot,bloomcoffeeroasters,2000.0,1kg,Dark Roast,,,
Venkids Valley Estate (Washed) – Coorg  Medium     Pour Over,bloomcoffeeroasters,2000.0,1kg,Dark Roast,,,
Venkids Valley Estate (Washed) – Coorg  Medium     South Indian Filter,bloomcoffeeroasters,2000.0,1kg,Dark Roast,,,
